id,dates,retail_sales_total,electronic_shopping_mail_order_houses,electronics_appliance_stores,clothing_stores,hobby_toy_game_stores
25,2012-01,315540,25932,7832,10686,1072
26,2012-02,331470,26420,8256,12618,1192
27,2012-03,368502,26365,8507,15205,1270
28,2012-04,349194,26528,7241,14003,1156
29,2012-05,373129,26921,7955,14593,1186
30,2012-06,356083,27065,8009,14035,1130
31,2012-07,351520,27369,8190,13717,1123
32,2012-08,372986,27712,8474,15157,1126
33,2012-09,342582,27937,7826,13714,1158
34,2012-10,355823,27958,7657,14247,1275
35,2012-11,368593,28530,10401,16562,1945
36,2012-12,416807,28642,13534,21594,2987
37,2013-01,333663,28820,8168,11297,1029
38,2013-02,332471,28624,8261,12242,1079
39,2013-03,374171,28528,8288,15366,1250
40,2013-04,362978,28284,7359,14103,1117
41,2013-05,389709,28419,7892,15153,1127
42,2013-06,369355,28552,7870,14128,1067
43,2013-07,377031,28819,8065,14313,1118
44,2013-08,388299,28876,8403,15645,1156
45,2013-09,352749,28961,7854,13471,1172
46,2013-10,369868,28703,8030,14816,1351
47,2013-11,378800,29042,10349,16783,2156
48,2013-12,430754,29761,12997,21730,3298
49,2014-01,340558,28722,7880,11095,1020
50,2014-02,337558,29572,7860,12111,1091
51,2014-03,383642,30289,8167,14871,1221
52,2014-04,383895,30613,7207,15019,1204
53,2014-05,408383,30764,7673,15668,1178
54,2014-06,385557,31719,7595,14066,1088
55,2014-07,394790,31497,7889,14708,1186
56,2014-08,401546,31874,8181,15922,1189
57,2014-09,374507,32078,8183,13911,1254
58,2014-10,388493,32578,8068,15245,1358
59,2014-11,391652,32671,10684,17857,2140
60,2014-12,451346,33183,13510,22772,3507
61,2015-01,350466,33155,7989,11638,1127
62,2015-02,342030,33591,7707,12627,1157
63,2015-03,393318,33706,7879,15495,1320
64,2015-04,387581,34162,7108,15134,1222
65,2015-05,409703,34341,7624,16199,1232
66,2015-06,398034,34427,7922,14618,1154
67,2015-07,406760,35028,7877,15277,1189
68,2015-08,405111,35240,8064,16214,1196
69,2015-09,382135,35612,7976,14316,1281
70,2015-10,392721,35831,7795,15600,1431
71,2015-11,396150,36053,9932,17402,2168
72,2015-12,464110,36363,12384,22861,3573
73,2016-01,351890,36858,7258,11629,1191
74,2016-02,363622,37146,7479,13188,1221
75,2016-03,405050,37478,7565,15945,1374
76,2016-04,394766,37599,6730,15042,1250
77,2016-05,413047,38250,7203,15763,1243
78,2016-06,410045,38775,7366,15067,1188
79,2016-07,405935,38872,7413,15367,1239
80,2016-08,416449,39229,7854,16179,1239
81,2016-09,394147,39518,7415,14855,1315
82,2016-10,397337,39969,7056,15527,1428
83,2016-11,413872,40237,9203,17763,2234
84,2016-12,482053,40955,11431,24003,3432
85,2017-01,368960,41456,7034,11843,1182
86,2017-02,365480,41662,6719,12703,1181
87,2017-03,422891,42157,7495,15785,1355
88,2017-04,407165,42922,6673,15683,1278
89,2017-05,434450,43098,7155,16005,1247
90,2017-06,423034,43438,7227,15397,1178
91,2017-07,416900,43918,7071,15368,1193
92,2017-08,431822,44008,7468,16356,1243
93,2017-09,412578,44424,7294,14713,1348
94,2017-10,417830,44077,7168,15361,1445
95,2017-11,442077,46017,9703,18393,2239
96,2017-12,497027,46733,11417,23501,3258
97,2018-01,389808,46387,7290,11643,1187
98,2018-02,380671,47272,6972,12926,1230
99,2018-03,444994,47799,7581,16382,1720
100,2018-04,420245,48196,6835,14945,1358
101,2018-05,464050,48140,7397,17132,1438
102,2018-06,443577,48339,7504,15676,1259
103,2018-07,441767,49119,7378,15944,1046
104,2018-08,456030,49458,7861,16608,1100
105,2018-09,417172,50248,7280,14709,1182
106,2018-10,441878,50461,7335,15833,1282
107,2018-11,459319,52430,9565,19074,1986
108,2018-12,493526,46816,11004,23481,2101
109,2019-01,399461,52738,7162,11955,1131
110,2019-02,384967,53365,6562,12514,1088
111,2019-03,447155,53145,7192,16212,1265
112,2019-04,442921,54225,6489,15820,1159
113,2019-05,475897,55641,7112,16829,1235
114,2019-06,448595,56317,6983,15728,1169
115,2019-07,462097,56508,7170,15971,1178
116,2019-08,473482,56956,7519,17028,1269
117,2019-09,429556,56798,7123,14374,1254
118,2019-10,456436,57426,7096,16070,1407
119,2019-11,469003,56807,9242,18992,2064
120,2019-12,521467,56720,10886,24357,2305
121,2020-01,418734,57822,7079,12287,1174
122,2020-02,415511,58027,6687,13439,1200
123,2020-03,430527,61256,5816,7584,862
124,2020-04,377210,70809,3040,1736,360
125,2020-05,462286,75424,3952,5504,1120
126,2020-06,481205,71895,5608,11080,1420
127,2020-07,494905,73073,6555,12098,1409
128,2020-08,488949,74608,6839,12933,1508
129,2020-09,476247,73026,6459,12912,1582
130,2020-10,495722,74972,6865,14165,1674
131,2020-11,492362,74660,8296,15038,2412
132,2020-12,559932,66947,9484,19983,2617
133,2021-01,464362,78993,7066,10568,1646
134,2021-02,440019,75939,6203,10654,1445
135,2021-03,567933,80201,7980,16275,1980
136,2021-04,558181,80048,7306,16033,1777
137,2021-05,570641,79142,7594,17598,1768
138,2021-06,562929,79113,7983,17331,1733
139,2021-07,558031,75133,7978,17876,1812
140,2021-08,557018,80188,7952,17279,1844
141,2021-09,536229,79740,7645,15846,1939
142,2021-10,559399,82729,8087,17187,2063
143,2021-11,580162,81389,9314,20379,2908
