Kind of Business,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2015,"398,555","319,532","365,413","286,390","350,466","271,443","90,414","79,023","72,372","68,972","61,368","7,604","6,651","16,017","8,028","4,493","3,535","1,391","2,034","7,989","1,277","6,712","20,708","18,481",684,"1,735","56,749","51,643","49,782","3,486","25,287","21,360","33,142","15,840","11,638",613,"2,486","5,997","1,273","2,108","1,886","6,256","2,869","1,127","1,487","49,843","10,843","3,410","7,433","39,000","34,246","4,754","8,566","2,458","1,414","1,044","1,182","39,035","30,801","4,888","48,089","1,712","42,259","22,141","20,118","436,482","347,963","399,901","311,382","385,648","297,129","104,531","88,519","81,226","7,293","17,315","8,688","8,627","26,517","23,015","57,112","51,233","4,021","25,440","21,149","36,581","21,039","15,314",776,"3,405","2,884","2,612","6,951","56,497","13,986","42,511","36,983","5,528","9,847","39,830","33,155","2,982","50,834"
Feb. 2015,"388,766","308,588","356,478","276,300","342,030","261,852","90,578","80,178","73,422","69,540","60,223","9,317","6,756","15,290","7,583","4,328","3,255","1,311","1,832","7,707","1,255","6,452","19,470","17,308",668,"1,664","52,155","47,164","45,356","3,397","23,734","19,742","32,288","18,079","12,627",668,"2,734","6,492","1,289","2,655","2,611","5,427","2,863","1,157",686,"49,471","11,265","3,839","7,426",38206,"33,229","4,977","8,436","2,311","1,206","1,105","1,125","37,502","29,056","5,128","46,736","1,651","40,795","21,339","19,456","435,847","348,562","398,039","310,754","385,157","297,872","104,165","87,285","79,893","7,392","16,998","8,501","8,497","25,555","22,161","57,196","51,321","4,034","25,249","20,958","37,808","21,326","15,572",805,"3,350","2,911","2,627","6,985","56,158","13,836","42,322","36,798","5,524","9,760","40,837","33,591","3,539","50,690"
Mar. 2015,"446,581","349,376","408,972","311,767","393,318","296,113","101,430","97,205","89,461","83,389","73,806","9,583","7,744","16,577","8,698","4,844","3,854","1,538","2,181","7,879","1,422","6,457","25,912","22,543",858,"1,969","56,741","51,221","49,167","3,761","26,412","21,974","37,609","20,819","15,495",739,"3,470","8,110","1,459","3,008","2,126","6,531","3,733","1,320",656,"55,122","13,222","4,422","8,800",41900,"36,342","5,558","9,285","2,381","1,179","1,202","1,345","41,105","33,099","4,138","53,263","1,909","46,833","24,154","22,679","442,487","351,347","404,110","312,970","391,420","300,280","104,604","91,140","83,687","7,453","17,114","8,759","8,355","26,534","23,145","57,188","51,272","4,101","25,793","21,628","38,377","21,381","15,651",779,"3,356","2,906","2,609","7,076","56,368","13,959","42,409","36,783","5,626","9,788","40,661","33,706","3,125","51,067"
Apr. 2015,"439,993","345,534","402,048","307,589","387,581","293,122","97,465","94,459","86,739","80,246","71,017","9,229","7,720","15,457","8,349","4,457","3,892","1,655","2,112","7,108","1,343","5,765","30,742","25,266",923,"2,133","55,703","50,112","48,012","3,768","25,190","21,160","37,945","20,470","15,134",814,"3,396","7,999","1,348","2,822","2,291","6,239","3,615","1,222",651,"52,865","12,379","4,451","7,928","40,486","35,096","5,390","9,373","2,434","1,146","1,288","1,294","39,138","32,556","2,512","52,412","1,783","45,609","22,950","22,659","443,095","351,403","405,263","313,571","391,356","299,664","104,743","91,692","84,131","7,561","17,264","8,882","8,382","26,690","23,180","57,092","51,135","4,060","25,393","21,181","37,832","21,444","15,689",780,"3,300","2,885","2,627","7,082","56,245","13,801","42,444","36,904","5,540","9,725","40,897","34,162","2,810","51,739"
15-May,"465,244","366,995","422,991","324,742","409,703","311,454","105,988","98,249","90,562","83,686","74,882","8,804","7,687","16,617","8,993","4,974","4,019","1,647","2,247","7,624","1,522","6,102","32,454","26,543",944,"2,245","59,296","53,188","50,870","4,222","25,120","21,061","42,253","22,239","16,199",848,"3,671","8,600","1,366","2,960","2,841","6,639","3,876","1,232",750,"57,963","13,732","4,879","8,853","44,231","38,377","5,854","10,900","2,530","1,087","1,443","1,346","37,973","32,212","1,836","55,541","1,928","48,625","24,763","23,862","446,529","354,216","407,260","314,947","394,718","302,405","105,693","92,313","84,717","7,596","17,509","9,066","8,443","26,826","23,182","57,163","51,241","4,087","25,348","21,188","39,269","21,626","15,816",781,"3,390","2,963","2,631","7,123","56,778","14,037","42,741","37,079","5,662","9,997","40,766","34,341","2,676","51,811"
Jun. 2015,"450,172","354,741","407,293","311,862","398,034","302,603","100,182","95,431","87,343","80,548","71,952","8,596","8,088","16,602","8,680","4,739","3,941","1,664","2,156","7,922","1,533","6,389","30,852","26,244","1,046","2,118","56,827","50,889","48,597","4,104","25,330","21,078","42,879","19,758","14,618",762,"3,169","7,812","1,408","2,607","2,339","6,732","4,150","1,154",683,"54,675","12,619","4,184","8,435","42,056","36,489","5,567","10,394","2,415","1,039","1,376","1,310","38,554","32,740","1,694","52,138","1,787","45,981","22,908","23,073","447,343","354,938","407,456","315,051","395,464","303,059","105,209","92,405","84,717","7,688","17,440","8,903","8,537","26,570","23,001","57,419","51,455","4,096","25,534","21,291","39,887","21,391","15,569",777,"3,350","2,916","2,685","7,094","56,644","13,770","42,874","37,234","5,640","10,040","41,040","34,427","2,715","51,879"
Jul. 2015,"459,960","361,299","415,960","317,299","406,760","308,099","102,602","98,661","90,443","84,213","75,574","8,639","8,218","17,104","9,227","4,922","4,305","1,787","2,402","7,877","1,545","6,332","29,841","26,289","1,044","2,054","59,294","53,017","50,611","4,409","25,474","21,349","44,000","20,671","15,277",705,"3,130","8,459","1,361","2,957","2,218","6,790","4,154","1,189",692,"55,412","12,625","4,049","8,576","42,787","37,224","5,563","10,354","2,625","1,140","1,485","1,430","39,159","33,452","1,675","53,200","1,884","46,940","23,258","23,682","450,350","357,855","410,057","317,562","398,193","305,698","105,660","92,495","84,764","7,731","17,435","9,064","8,371","27,326","23,641","57,573","51,573","4,124","25,783","21,456","40,293","21,548","15,704",784,"3,351","2,969","2,644","7,140","56,924","13,709","43,215","37,562","5,653","10,059","41,617","35,028","2,667","52,157"
Aug. 2015,"458,313","359,485","416,260","317,432","405,111","306,283","107,975","98,828","90,964","85,299","76,687","8,612","7,864","17,332","9,268","5,070","4,198","1,742","2,342","8,064","1,438","6,626","27,107","24,078",992,"2,016","57,957","51,991","49,709","4,140","25,384","21,105","42,053","22,424","16,214",762,"3,326","8,766","1,523","3,758","2,248","7,916","4,386","1,196","1,546","57,313","13,740","4,343","9,397","43,573","38,087","5,486","10,386","2,990","1,557","1,433","1,477","38,411","33,055","1,601","53,202","1,888","46,759","23,344","23,415","450,521","357,320","411,292","318,091","398,105","304,904","105,616","93,201","85,573","7,628","17,442","9,086","8,356","27,385","23,722","57,593","51,578","4,136","25,955","21,580","39,229","21,587","15,789",810,"3,408","2,947","2,626","7,170","56,743","13,682","43,061","37,340","5,721","10,158","41,642","35,240","2,566","52,416"
Sep. 2015,"432,898","341,246","395,206","303,554","382,135","290,483","98,028","91,652","84,039","78,873","70,953","7,920","7,613","17,066","9,090","5,138","3,952","1,660","2,176","7,976","1,470","6,506","26,870","23,954",977,"1,861","55,775","50,083","47,930","3,955","25,749","21,574","37,692","19,233","14,316",742,"3,085","7,725","1,286","2,685","2,031","6,866","3,697","1,281","1,063","52,193","12,099","4,184","7,915","40,094","34,736","5,358","9,686","2,670","1,289","1,381","1,397","39,353","33,618","1,790","50,763","1,786","43,524","21,584","21,940","448,635","355,035","411,682","318,082","396,248","302,648","105,813","93,600","86,017","7,583","17,432","9,045","8,387","27,138","23,507","57,407","51,420","4,103","26,194","22,241","36,953","21,446","15,704",778,"3,310","2,987","2,523","7,197","57,113","13,755","43,358","37,634","5,724","9,714","42,054","35,612","2,532","52,387"
Oct. 2015,"446,746","355,452","408,608","317,314","392,721","301,427","103,560","91,294","83,332","78,547","70,410","8,137","7,962","17,030","9,235","4,996","4,239","1,799","2,321","7,795","1,403","6,392","27,667","24,370",948,"2,061","57,692","51,795","49,666","4,145","26,251","22,163","38,138","20,750","15,600",799,"3,401","8,555","1,316","2,779","2,160","6,438","3,468","1,431",718,"56,241","13,033","4,408","8,625","43,208","37,413","5,795","10,276","3,101","1,124","1,977","1,524","40,944","34,577","2,313","54,025","1,925","46,418","23,333","23,085","447,262","354,371","410,696","317,805","394,503","301,612","105,201","92,891","85,294","7,597","17,455","9,162","8,293","27,331","23,660","57,134","51,231","4,084","26,043","21,750","36,566","21,239","15,512",776,"3,347","2,998","2,497","7,106","56,750","13,669","43,081","37,338","5,743","9,726","42,262","35,831","2,495","52,759"
