Date,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,Automobile dealers,New car dealers,Used car dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Furniture stores,Home furnishings stores,Floor covering stores,All other home furnishings stores,Electronics and appliance stores,Household appliance stores,Electronics stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Paint and wallpaper stores,Hardware stores,Food and beverage stores,Grocery stores,Supermarkets and other grocery (except convenience) stores,"Beer, wine, and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Family clothing stores,Other clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",Sporting goods stores,"Hobby, toy, and game stores",Book stores,General merchandise stores,Department stores,Department stores(excl. discount department stores),Discount dept. stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous store retailers,"Office supplies, stationery, and gift stores",Office supplies and stationery stores,"Gift, novelty, and souvenir stores",Used merchandise stores,Nonstore retailers,Electronic shopping and mail-order houses,Fuel dealers,Food services and drinking places,Drinking places,Restaurants and other eating places,Full service restaurants,Limited service eating places,"Retail and food services sales, total",Retail sales and food services excl motor vehicle and parts,Retail sales and food services excl gasoline stations,Retail sales and food services excl motor vehicle and parts and gasoline stations,"Retail sales, total","Retail sales, total (excl. motor vehicle and parts dealers)",GAFO(1),Motor vehicle and parts dealers,Automobile and other motor vehicle dealers,"Automotive parts, acc., and tire stores","Furniture, home furn, electronics, and appliance stores",Furniture and home furnishings stores,Electronics and appliance stores,Building mat. and garden equip. and supplies dealers,Building mat. and supplies dealers,Food and beverage stores,Grocery stores,"Beer, wine and liquor stores",Health and personal care stores,Pharmacies and drug stores,Gasoline stations,Clothing and clothing access. stores,Clothing stores,Men's clothing stores,Women's clothing stores,Shoe stores,Jewelry stores,"Sporting goods, hobby, musical instrument, and book stores",General merchandise stores,Department stores,Other general merchandise stores,Warehouse clubs and superstores,All other gen. merchandise stores,Miscellaneous stores retailers,Nonstore retailers,Electronic shopping and mail order houses,Fuel dealers,Food services and drinking places
Jan. 2016,"401,911","321,013","370,863","289,965","351,890","270,992","89,674","80,898","73,975","70,393","62,569","7,824","6,923","15,555","8,297","4,599","3,698","1,457","2,130","7,258","1,246","6,012","21,408","19,154",677,"1,746","56,931","51,810","49,846","3,488","25,538","21,680","31,048","15,753","11,629",604,"2,413","6,055","1,265","2,163","1,769","6,427","3,104","1,191","1,424","49,678","10,199","3,162","7,037","39,479","34,531","4,948","8,335","2,261","1,215","1,046","1,173","40,319","33,172","3,560","50,021","1,876","44,091","22,883","21,208","447,794","354,701","413,296","320,203","394,749","301,656","104,735","93,093","85,323","7,770","17,206","9,239","7,967","28,215","24,556","57,620","51,655","4,094","26,247","21,899","34,498","21,289","15,539",769,"3,333","3,008","2,527","7,303","56,318","13,294","43,024","37,250","5,774","9,786","43,174","36,858","2,249","53,045"
Feb. 2016,"415,093","324,880","386,106","295,893","363,622","273,409","94,702","90,213","82,909","78,320","67,800","10,520","7,304","15,986","8,507","4,818","3,689","1,503","2,075","7,479","1,348","6,131","22,538","20,032",755,"1,757","54,145","48,747","46,788","3,642","26,171","21,895","28,987","19,011","13,188",672,"2,865","6,842","1,367","2,945","2,637","5,844","3,235","1,221",687,"51,619","11,074","3,727","7,347",40545,"35,117","5,428","8,665","2,242","1,104","1,138","1,207","40,443","33,394","3,342","51,471","1,871","45,163","23,401","21,762","452,342","356,770","419,477","323,905","398,105","302,533","106,372","95,572","87,827","7,745","17,336","9,277","8,059","28,260","24,670","57,684","51,530","4,201","26,787","22,296","32,865","21,962","15,911",788,"3,411","3,198","2,585","7,296","57,185","13,280","43,905","38,005","5,900","9,770","43,388","37,146","2,234","54,237"
Mar. 2016,"460,910","359,702","427,324","326,116","405,050","303,842","104,199","101,208","93,030","86,386","76,194","10,192","8,178","16,967","9,402","5,197","4,205","1,780","2,283","7,565","1,411","6,154","29,101","24,796",931,"2,123","58,086","52,254","50,065","3,907","27,682","23,016","33,586","21,555","15,945",767,"3,565","8,448","1,483","3,238","2,129","6,923","4,075","1,374",681,"56,375","12,568","4,289","8,279",43807,"37,820","5,987","9,714","2,379","1,136","1,243","1,307","43,853","37,066","2,566","55,860","2,039","49,144","24,876","24,268","450,830","357,273","416,628","323,071","396,911","303,354","105,540","93,557","85,900","7,657","17,174","9,236","7,938","28,956","24,996","57,195","51,129","4,156","26,617","22,259","34,202","21,491","15,653",776,"3,379","3,004","2,565","7,280","56,993","13,189","43,804","37,934","5,870","10,009","43,437","37,478","1,916","53,919"
Apr. 2016,"451,121","353,383","415,844","318,106","394,766","297,028","98,659","97,738","90,067","83,117","73,798","9,319","7,671","15,464","8,734","4,716","4,018","1,727","2,141","6,730","1,334","5,396","31,497","26,164",944,"2,159","56,266","50,543","48,356","3,966","26,302","22,120","35,277","20,493","15,042",792,"3,429","7,971","1,378","2,915","2,276","6,499","3,792","1,250",671,"53,822","11,647","4,076","7,571","42,175","36,557","5,618","9,789","2,381","1,065","1,316","1,318","41,619","35,531","1,973","56,355","2,002","48,965","24,833","24,132","452,430","358,691","417,329","323,590","398,190","304,451","105,280","93,739","86,189","7,550","17,084","9,203","7,881","27,956","24,316","57,861","51,786","4,188","26,811","22,457","35,101","21,407","15,600",760,"3,316","2,987","2,549","7,213","56,917","12,948","43,969","38,080","5,889","10,126","43,975","37,599","2,265","54,240"
May-16,"470,116","371,156","431,308","332,348","413,047","314,087","103,979","98,960","91,172","84,037","75,336","8,701","7,788","16,342","9,139","4,997","4,142","1,751","2,268","7,203","1,462","5,741","33,652","28,033",983,"2,268","59,242","53,053","50,698","4,242","26,802","22,536","38,808","21,752","15,763",839,"3,513","8,458","1,341","2,952","2,768","6,695","3,939","1,243",741,"56,662","12,238","4,228","8,010","44,424","38,385","6,039","10,937","2,528","1,026","1,502","1,323","43,195","37,026","1,707","57,069","2,043","49,724","24,915","24,809","454,443","360,322","418,410","324,289","400,143","306,022","105,355","94,121","86,501","7,620","17,202","9,278","7,924","27,608","24,063","58,126","51,962","4,238","26,722","22,335","36,033","21,579","15,676",777,"3,302","3,037","2,614","7,261","56,668","12,809","43,859","37,967","5,892","9,996","44,827","38,250","2,391","54,300"
Jun. 2016,"464,721","366,135","424,659","326,073","410,045","311,459","102,162","98,586","90,426","83,087","73,973","9,114","8,160","16,618","9,252","5,029","4,223","1,882","2,212","7,366","1,544","5,822","33,120","28,214","1,091","2,211","58,521","52,332","49,936","4,307","26,623","22,135","40,062","20,251","15,067",783,"3,156","8,181","1,424","2,779","2,189","7,214","4,631","1,188",677,"55,680","12,296","4,085","8,211","43,384","37,433","5,951","10,451","2,399",949,"1,450","1,279","42,919","36,914","1,493","54,676","1,905","47,923","23,574","24,349","459,052","364,300","421,785","327,033","404,756","310,004","106,214","94,752","87,032","7,720","17,300","9,422","7,878","28,271","24,577","58,527","52,332","4,273","26,892","22,404","37,267","21,673","15,844",787,"3,319","3,064","2,519","7,562","57,085","13,054","44,031","38,080","5,951","10,063","45,364","38,775","2,396","54,296"
Jul. 2016,"462,004","362,111","422,252","322,359","405,935","306,042","102,899","99,893","92,147","85,623","76,669","8,954","7,746","16,726","9,313","5,028","4,285","1,803","2,348","7,413","1,499","5,914","29,112","25,917","1,000","2,067","59,851","53,382","50,825","4,572","25,749","21,595","39,752","20,759","15,367",686,"3,058","8,666","1,345","3,073","2,088","6,913","4,314","1,239",652,"55,976","11,850","3,851","7,999","44,126","38,312","5,814","10,055","2,525",991,"1,534","1,365","41,149","35,762","1,366","56,069","2,060","49,428","24,313","25,115","458,060","362,118","421,253","325,311","403,730","307,788","105,243","95,942","88,348","7,594","17,295","9,350","7,945","27,969","24,473","58,172","51,979","4,281","26,822","22,425","36,807","21,431","15,658",766,"3,246","3,046","2,486","7,216","56,755","12,828","43,927","37,970","5,957","9,997","45,324","38,872","2,315","54,330"
Aug. 2016,"471,690","367,377","432,935","328,622","416,449","312,136","107,380","104,313","96,100","89,924","80,417","9,507","8,213","17,560","9,706","5,135","4,571","1,936","2,513","7,854","1,506","6,348","28,866","25,904","1,066","2,097","58,627","52,474","50,021","4,307","27,014","22,392","38,755","22,479","16,179",729,"3,298","8,796","1,575","3,898","2,181","7,792","4,302","1,239","1,496","56,578","12,735","3,920","8,815","43,843","38,096","5,747","10,404","2,971","1,493","1,478","1,413","44,061","38,405","1,502","55,241","1,999","48,527","23,732","24,795","458,771","362,435","422,753","326,417","403,968","307,632","105,630","96,336","88,653","7,683","17,372","9,333","8,039","27,846","24,369","58,446","52,265","4,286","26,747","22,192","36,018","21,787","15,956",779,"3,379","3,081","2,501","7,039","56,858","12,870","43,988","38,020","5,968","9,933","45,586","39,229","2,300","54,803"
Sep. 2016,"448,516","352,800","410,592","314,876","394,147","298,431","98,485","95,716","88,025","82,567","73,954","8,613","7,691","17,082","9,667","5,292","4,375","1,864","2,366","7,415","1,517","5,898","27,778","24,875","1,000","1,943","57,448","51,405","49,106","4,260","26,229","21,619","37,924","19,904","14,855",747,"3,083","8,049","1,404","2,790","2,042","6,733","3,587","1,315","1,037","52,143","11,409","3,902","7,507","40,734","35,077","5,657","10,184","2,623","1,207","1,416","1,390","43,006","37,147","1,661","54,369","2,059","46,274","22,801","23,473","461,324","364,147","424,361","327,184","405,958","308,781","104,969","97,177","89,547","7,630","17,219","9,487","7,732","27,876","24,340","58,717","52,454","4,360","26,683","22,219","36,963","21,906","16,053",769,"3,287","3,086","2,521","7,058","56,245","12,753","43,492","37,556","5,936","10,196","45,918","39,518","2,260","55,366"
Oct. 2016,"453,155","360,140","414,177","321,162","397,337","304,322","101,847","93,015","85,223","80,503","71,517","8,986","7,792","16,231","9,175","4,903","4,272","1,795","2,340","7,056","1,395","5,661","27,464","24,509",946,"2,051","58,744","52,655","50,393","4,261","25,678","21,493","38,978","20,626","15,527",759,"3,182","8,666","1,320","2,750","2,123","6,291","3,395","1,428",688,"55,817","11,934","3,921","8,013","43,883","37,969","5,914","10,572","2,882",996,"1,886","1,506","43,921","37,651","2,126","55,818","2,137","47,877","23,766","24,111","462,770","365,738","424,817","327,785","407,395","310,363","105,078","97,032","89,332","7,700","17,003","9,391","7,612","28,050","24,657","59,054","52,813","4,335","25,885","21,429","37,953","21,696","15,869",757,"3,217","3,052","2,521","7,084","56,762","12,637","44,125","38,121","6,004","10,368","46,508","39,969","2,383","55,375"
