NAICS Code,Kind of Business,Jan. 2021,Feb. 2021,Mar. 2021,Apr. 2021,May 2021,Jun. 2021,Jul. 2021,Aug. 2021,Sep. 2021,Oct. 2021,Nov. 2021(p),CY CUM,PY CUM
,"Retail and food services sales, total","517,119","490,646","633,078","625,527","643,099","635,437","634,486","631,415","607,540","634,076","649,933","6,702,356","5,603,644"
,Retail sales and food services excl motor vehicle and parts,"412,864","387,850","486,171","481,396","500,389","498,169","500,441","503,052","484,274","509,076","529,534","5,293,216","4,475,820"
,Retail sales and food services excl gasoline stations,"479,905","454,351","586,718","578,253","592,919","584,134","580,997","578,143","555,081","578,828","597,163","6,166,492","5,210,163"
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"375,650","351,555","439,811","434,122","450,209","446,866","446,952","449,780","431,815","453,828","476,764","4,757,352","4,082,339"
,"Retail sales, total","464,362","440,019","567,933","558,181","570,641","562,929","558,031","557,018","536,229","559,399","580,162","5,954,904","5,033,658"
,"Retail sales, total (excl. motor vehicle and parts dealers)","360,107","337,223","421,026","414,050","427,931","425,661","423,986","428,655","412,963","434,399","459,763","4,545,764","3,905,834"
,GAFO(1),"102,333","95,043","126,263","119,664","126,686","124,474","127,008","129,394","120,178","129,521","141,310","1,341,874","1,100,399"
441,Motor vehicle and parts dealers,"104,255","102,796","146,907","144,131","142,710","137,268","134,045","128,363","123,266","125,000","120,399","1,409,140","1,127,824"
"4411,4412",Automobile and other motor vehicle dealers,"96,537","95,277","136,709","134,233","133,232","127,542","124,297","118,495","113,797","115,116","111,041","1,306,276","1,037,410"
4411,Automobile dealers,"90,463","88,438","125,144","122,215","121,429","115,655","113,575","108,598","104,717","106,003","102,771","1,199,008","953,956"
44111,New car dealers,"79,954","77,194","107,329","105,362","105,868","100,052","98,633","93,126","89,210","90,324","88,408","1,035,460","838,824"
44112,Used car dealers,"10,509","11,244","17,815","16,853","15,561","15,603","14,942","15,472","15,507","15,679","14,363","163,548","115,132"
4413,"Automotive parts, acc., and tire stores","7,718","7,519","10,198","9,898","9,478","9,726","9,748","9,868","9,469","9,884","9,358","102,864","90,414"
"442,443","Furniture, home furn, electronics, and appliance stores","17,773","16,206","20,531","19,430","19,745","19,991","20,371","20,493","20,033","20,526","22,622","217,721","170,630"
442,Furniture and home furnishings stores,"10,707","10,003","12,551","12,124","12,151","12,008","12,393","12,541","12,388","12,439","13,308","132,613","103,434"
4421,Furniture stores,"6,099","5,675","7,128","6,845","6,796","6,504","6,759","6,713","6,789","6,801","6,813","72,922","56,790"
4422,Home furnishings stores,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44221,Floor covering stores,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
442299,All other home furnishings stores,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
443,Electronics and appliance stores,"7,066","6,203","7,980","7,306","7,594","7,983","7,978","7,952","7,645","8,087","9,314","85,108","67,196"
443141,Household appliance stores,"1,631","1,493","1,959","1,852","1,776","1,907","1,848","1,820","1,809","1,799","1,863","19,757","16,567"
443142,Electronics stores,"5,435","4,710","6,021","5,454","5,818","6,076","6,130","6,132","5,836","6,288","7,451","65,351","50,629"
444,Building mat. and garden equip. and supplies dealers,"31,229","29,605","43,520","47,108","46,920","45,421","41,626","39,997","39,278","39,857","39,857","444,418","391,053"
4441,Building mat. and supplies dealers,"27,143","25,637","37,395","39,965","40,129","39,531","36,781","35,401","34,689","34,975","35,200","386,846","340,904"
44412,Paint and wallpaper stores,923,895,"1,276","1,276","1,271","1,337","1,242","1,280","1,251","1,223","1,110","13,084","12,144"
44413,Hardware stores,"2,352","2,204","2,915","3,149","3,268","3,230","2,974","2,879","2,818","2,860","2,855","31,504","30,064"
445,Food and beverage stores,"71,726","65,819","72,656","71,619","76,383","74,890","77,495","76,299","74,774","77,642","77,554","816,857","787,835"
4451,Grocery stores,"64,785","59,018","64,734","63,749","68,015","66,531","68,923","68,259","66,939","69,523","68,981","729,457","706,714"
44511,Supermarkets and other grocery (except convenience) stores,"62,085","56,483","61,761","60,657","64,771","63,313","65,561","64,988","63,796","66,320","65,846","695,581","677,338"
4453,"Beer, wine, and liquor stores","5,087","4,968","5,727","5,712","6,084","6,058","6,230","5,766","5,635","5,828","6,096","63,191","59,486"
446,Health and personal care stores,"29,509","27,494","33,172","31,792","31,169","32,396","31,871","32,233","31,787","32,098","31,725","345,246","315,043"
44611,Pharmacies and drug stores,"25,420","23,466","27,972","27,080","26,377","27,330","27,035","27,461","26,991","27,408","26,710","293,250","272,993"
447,Gasoline stations,"37,214","36,295","46,360","47,274","50,180","51,303","53,489","53,272","52,459","55,248","52,770","535,864","393,481"
448,Clothing and clothing access. stores,"15,740","16,568","24,171","23,599","26,503","25,301","25,874","25,745","23,306","25,080","29,549","261,436","171,959"
4481,Clothing stores,"10,568","10,654","16,275","16,033","17,598","17,331","17,876","17,279","15,846","17,187","20,379","177,026","118,776"
44811,Men's clothing stores,349,362,569,669,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
44812,Women's clothing stores,"2,043","2,069","3,159","3,124","3,381","3,279","3,338","3,100","3,085","3,247","3,823","33,648","22,765"
44814,Family clothing stores,"5,903","5,919","9,424","9,332","10,311","10,180","10,536","10,332","9,074","10,101","12,199","103,311","69,327"
44819,Other clothing stores,"1,184","1,152","1,609","1,470","1,526","1,707","1,651","1,571","1,476","1,441","1,662","16,449","11,086"
4482,Shoe stores,"2,213","2,163","3,678","3,364","3,587","3,328","3,456","3,910","2,936","3,011","3,283","34,929","24,794"
44831,Jewelry stores,"2,640","3,419",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
451,"Sporting goods, hobby, musical instrument, and book stores","7,421","6,424","9,554","9,008","8,912","9,345","9,200","9,765","8,804","8,841","10,317","97,591","75,061"
45111,Sporting goods stores,"4,150","3,840","6,164","5,885","5,715","6,051","5,845","5,884","5,081","5,123","5,739","59,477","47,112"
45112,"Hobby, toy, and game stores","1,646","1,445","1,980","1,777","1,768","1,733","1,812","1,844","1,939","2,063","2,908","20,915","14,721"
451211,Book stores,820,459,547,514,632,703,712,"1,154",883,697,709,"7,830","5,599"
452,General merchandise stores,"59,643","54,183","69,886","65,512","69,330","67,458","69,034","70,669","65,393","72,084","76,510","739,702","662,593"
4521,Department stores,"8,327","7,881","10,825","10,039","11,254","11,263","11,728","12,314","10,765","11,885","14,015","120,296","98,873"
452111,Department stores(excl. discount department stores),"1,273","1,495","2,103","2,159","2,646","2,899","3,110","3,200","2,787","3,211","4,222","29,105","17,894"
452112,Discount dept. stores,"7,054","6,386","8,722","7,880","8,608","8,364","8,618","9,114","7,978","8,674","9,793","91,191","80,979"
4529,Other general merchandise stores,"51,316",46302,59061,"55,473","58,076","56,195","57,306","58,355","54,628","60,199","62,495","619,406","563,720"
45291,Warehouse clubs and superstores,"44,568","39,956","50,973","47,252","49,526","48,205","49,580","50,738","47,157","52,138","53,804","533,897","482,562"
45299,All other gen. merchandise stores,"6,748","6,346","8,088","8,221","8,550","7,990","7,726","7,617","7,471","8,061","8,691","85,509","81,158"
453,Miscellaneous store retailers,"11,175","10,515","13,605","13,642","14,367","14,504","14,421","14,469","14,437","15,339","15,339","151,813","118,777"
4532,"Office supplies, stationery, and gift stores","1,756","1,662","2,121","2,115","2,196","2,379","2,529","2,722","2,642","2,990","2,312","25,424","20,156"
45321,Office supplies and stationery stores,885,764,892,817,773,763,799,"1,119",907,765,735,"9,219","9,205"
45322,"Gift, novelty, and souvenir stores",871,898,"1,229","1,298","1,423","1,616","1,730","1,603","1,735","2,225","1,577","16,205","10,951"
45330,Used merchandise stores,"1,385","1,341","1,703","1,780","1,657","1,591","1,781","1,725","1,618","1,846","1,984","18,411","13,920"
454,Nonstore retailers,"78,677","74,114","87,571","85,066","84,422","85,052","80,605","85,713","82,692","87,684","103,520","935,116","819,402"
4541,Electronic shopping and mail-order houses,"69,830","65,004","77,955","76,206","76,293","77,056","72,804","78,023","74,716","78,675","93,841","840,403","740,519"
