Date,"Retail sales, total",Electronic shopping and mail order houses,Electronics and appliance stores,Clothing stores,"Hobby, toy, and game stores"
2012-01,"315,540","25,932","7,832","10,686","1,072"
2012-02,"331,470","26,420","8,256","12,618","1,192"
2012-03,"368,502","26,365","8,507","15,205","1,270"
2012-04,"349,194","26,528","7,241","14,003","1,156"
2012-05,"373,129","26,921","7,955","14,593","1,186"
2012-06,"356,083","27,065","8,009","14,035","1,130"
2012-07,"351,520","27,369","8,190","13,717","1,123"
2012-08,"372,986","27,712","8,474","15,157","1,126"
2012-09,"342,582","27,937","7,826","13,714","1,158"
2012-10,"355,823","27,958","7,657","14,247","1,275"
2012-11,"368,593","28,530","10,401","16,562","1,945"
2012-12,"416,807","28,642","13,534","21,594","2,987"
2013-01,"333,663","28,820","8,168","11,297","1,029"
2013-02,"332,471","28,624","8,261","12,242","1,079"
2013-03,"374,171","28,528","8,288","15,366","1,250"
2013-04,"362,978","28,284","7,359","14,103","1,117"
2013-05,"389,709","28,419","7,892","15,153","1,127"
2013-06,"369,355","28,552","7,870","14,128","1,067"
2013-07,"377,031","28,819","8,065","14,313","1,118"
2013-08,"388,299","28,876","8,403","15,645","1,156"
2013-09,"352,749","28,961","7,854","13,471","1,172"
2013-10,"369,868","28,703","8,030","14,816","1,351"
2013-11,"378,800","29,042","10,349","16,783","2,156"
2013-12,"430,754","29,761","12,997","21,730","3,298"
2014-01,"340,558","28,722","7,880","11,095","1,020"
2014-02,"337,558","29,572","7,860","12,111","1,091"
2014-03,"383,642","30,289","8,167","14,871","1,221"
2014-04,"383,895","30,613","7,207","15,019","1,204"
2014-05,"408,383","30,764","7,673","15,668","1,178"
2014-06,"385,557","31,719","7,595","14,066","1,088"
2014-07,"394,790","31,497","7,889","14,708","1,186"
2014-08,"401,546","31,874","8,181","15,922","1,189"
2014-09,"374,507","32,078","8,183","13,911","1,254"
2014-10,"388,493","32,578","8,068","15,245","1,358"
2014-11,"391,652","32,671","10,684","17,857","2,140"
2014-12,"451,346","33,183","13,510","22,772","3,507"
2015-01,"350,466","33,155","7,989","11,638","1,127"
2015-02,"342,030","33,591","7,707","12,627","1,157"
2015-03,"393,318","33,706","7,879","15,495","1,320"
2015-04,"387,581","34,162","7,108","15,134","1,222"
2015-05,"409,703","34,341","7,624","16,199","1,232"
2015-06,"398,034","34,427","7,922","14,618","1,154"
2015-07,"406,760","35,028","7,877","15,277","1,189"
2015-08,"405,111","35,240","8,064","16,214","1,196"
2015-09,"382,135","35,612","7,976","14,316","1,281"
2015-10,"392,721","35,831","7,795","15,600","1,431"
2015-11,"396,150","36,053","9,932","17,402","2,168"
2015-12,"464,110","36,363","12,384","22,861","3,573"
2016-01,"351,890","36,858","7,258","11,629","1,191"
2016-02,"363,622","37,146","7,479","13,188","1,221"
2016-03,"405,050","37,478","7,565","15,945","1,374"
2016-04,"394,766","37,599","6,730","15,042","1,250"
2016-05,"413,047","38,250","7,203","15,763","1,243"
